Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
AGE,Agex Therapeutics Inc,Healthcare,Biotechnology,EQUITY,,https://www.agexinc.com,https://logo.clearbit.com/agexinc.com,ASE,"AgeX Therapeutics, Inc.","AgeX Therapeutics, Inc.",us_market,,22900102,AGE,AMEX
AGG,US Aggregate Bond Ishares Core ETF,,,ETF,,,,PCX,iShares Core U.S. Aggregate Bon,iShares Core U.S. Aggregate Bond ETF,us_market,iShares,,AGG,AMEX
AGGH,Simplify Aggregate Bond Plus Credit ETF,,,ETF,,,,PCX,Simplify Exchange Traded Funds ,Simplify Aggregate Bond PLUS Credit Hedge ETF,us_market,Simplify Asset Management,,AGGH,AMEX
AGGY,Wisdomtree Yield Ehd U.S. Agg Bond Fund,,,ETF,,,,PCX,WisdomTree Yield Enhanced U.S. ,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,us_market,WisdomTree,,AGGY,AMEX
AGIH,Ishares Inflation Hedged U.S. Aggregate,,,ETF,,,,PCX,iShares U.S. ETF Trust iShares ,iShares Inflation Hedged U.S. Aggregate Bond ETF,us_market,iShares,,AGIH,AMEX
AGOV,Exchange Listed Funds Trust Gavekal Asia,,,ETF,,,,PCX,ETC Gavekal Asia Pacific Govern,ETC Gavekal Asia Pacific Government Bond ETF,us_market,GaveKal Capital,,AGOV,AMEX
AGOX,Adaptive Growth Opportunities ETF,,,ETF,,,,PCX,Adaptive Alpha Opportunities ET,Adaptive Alpha Opportunities ETF,us_market,Adaptive ETF,,AGOX,AMEX
AGQ,Ultra Silver ETF,,,ETF,,,,PCX,ProShares Ultra Silver,ProShares Ultra Silver,us_market,ProShares,,AGQ,AMEX
AGRH,Interest Rate Hedged U.S. Agg Bond ETF,,,ETF,,,,PCX,iShares U.S. ETF Trust iShares ,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,us_market,iShares,,AGRH,AMEX
AGZ,Agency Bond Ishares ETF,,,ETF,,,,PCX,iShares  Agency Bond ETF,iShares Agency Bond ETF,us_market,iShares,,AGZ,AMEX
AHHX,Adaptive High Income ETF,,,ETF,,,,PCX,Adaptive High Income ETF,Adaptive High Income ETF,us_market,Adaptive ETF,,AHHX,AMEX
AHOY,Tidal Newday Ocean Health ETF,,,ETF,,,,PCX,Tidal ETF Trust Newday Ocean He,Newday Ocean Health ETF,us_market,Newday,,AHOY,AMEX
AHYB,American Century Select High Yield ETF,,,ETF,,,,PCX,American Century Select High Yi,American Century Select High Yield ETF,us_market,American Century Investments,,AHYB,AMEX
AIEQ,Ai Powered Equity ETF,,,ETF,,,,PCX,AI Powered Equity ETF,AI Powered Equity ETF,us_market,ETFMG,,AIEQ,AMEX
AILG,Alpha Intelligent Large Cap Growth ETF,,,ETF,,,,PCX,Listed Funds Trust Alpha Intell,Alpha Intelligent - Large Cap Growth ETF,us_market,Alpha intelligent,,AILG,AMEX
AILV,Trust Alpha Intelligent Large Cap Value,,,ETF,,,,PCX,Listed Funds Trust Alpha Intell,Alpha Intelligent - Large Cap Value ETF,us_market,Alpha intelligent,,AILV,AMEX
AIM,Aim Immunotech Inc,Healthcare,Biotechnology,EQUITY,,https://www.aimimmuno.com,https://logo.clearbit.com/aimimmuno.com,ASE,AIM ImmunoTech Inc.,AIM ImmunoTech Inc.,us_market,,27373686,AIM,AMEX
AINC,Ashford Inc,Financial Services,Asset Management,EQUITY,,https://www.ashfordinc.com,https://logo.clearbit.com/ashfordinc.com,ASE,Ashford Inc. (Holding Company),Ashford Inc.,us_market,,40505660,AINC,AMEX
AIRI,Air Industries Group Inc,Industrials,Aerospace & Defense,EQUITY,,https://www.airindustriesgroup.com,https://logo.clearbit.com/airindustriesgroup.com,ASE,Air Industries Group,Air Industries Group,us_market,,21360702,AIRI,AMEX
AIVI,Wisdomtree International Dividend Top,,,ETF,,,,PCX,WisdomTree International AI Enh,WisdomTree International Al Enhanced Value Fund,us_market,WisdomTree,,AIVI,AMEX
AIVL,Wisdomtree U.S. Dividend Ex-Financials,,,ETF,,,,PCX,WisdomTree U.S. AI Enhanced Val,WisdomTree U.S. Al Enhanced Value Fund,us_market,WisdomTree,,AIVL,AMEX
ALFA,Alphaclone Alternative Alpha ETF,,,ETF,,,,BTS,AlphaClone Alternative Alpha ET,AlphaClone Alternative Alpha ETF,us_market,AlphaClone,,ALFA,AMEX
ALTL,Pacer Lunt Large Cap Alternator ETF,,,ETF,,,,PCX,Pacer Lunt Large Cap Alternator,Pacer Lunt Large Cap Alternator ETF,us_market,Pacer,,ALTL,AMEX
AMAX,Rh Hedged Multi-Asset Income ETF,,,ETF,,,,PCX,RH Hedged Multi-Asset Income ET,RH Hedged Multi-Asset Income ETF,us_market,Adaptive ETF,,AMAX,AMEX
AMBO,Ambow Education Holding Ltd ADR,Consumer Defensive,Education & Training Services,EQUITY,,https://www.ambow.com,https://logo.clearbit.com/ambow.com,ASE,Ambow Education Holding Ltd. Am,Ambow Education Holding Ltd.,us_market,,8285797,AMBO,AMEX
AMER,Emles Made IN America ETF,,,ETF,,,,BTS,Emles Made in America ETF,Emles Made in America ETF,us_market,Emles,,AMER,AMEX
AMJ,Alerian MLP Index ETN JP Morgan,,,ETF,,,,PCX,JPMorgan Chase Capital XVI JP M,JPMorgan Alerian MLP Index ETN,us_market,JPMorgan,,AMJ,AMEX
AMLP,Alps Alerian MLP ETF,,,ETF,,,,PCX,Alerian MLP ETF,Alerian MLP ETF,us_market,ALPS,,AMLP,AMEX
AMNA,Etracs Alerian Midstream Energy Index,,,ETF,,,,PCX,ETRACS Alerian Midstream Energy,ETRACS Alerian Midstream Energy Index ETN,us_market,UBS,,AMNA,AMEX
AMND,UBS Ag Alerian Midstream Energy High Div,,,ETF,,,,PCX,UBS AG ETRACS Alerian Midstream,ETRACS Alerian Midstream Energy High Dividend Index ETN,us_market,UBS,,AMND,AMEX
AMOM,Qraft Ai-Enhanced U.S. Large Cap,,,ETF,,,,PCX,QRAFT AI-Enhanced U.S. Large Ca,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,us_market,Exchange Traded Concepts,,AMOM,AMEX
AMPE,Ampio Pharmaceuticals,Healthcare,Biotechnology,EQUITY,,https://www.ampiopharma.com,https://logo.clearbit.com/ampiopharma.com,ASE,"Ampio Pharmaceuticals, Inc.","Ampio Pharmaceuticals, Inc.",us_market,,17016782,AMPE,AMEX
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,EQUITY,,https://ashs.com,https://logo.clearbit.com/ashs.com,ASE,American Shared Hospital Servic,American Shared Hospital Services,us_market,,16196801,AMS,AMEX
AMTR,Etracs Alerian Midstream Energy Total,,,ETF,,,,PCX,ETRACS Alerian Midstream Energy,ETRACS Alerian Midstream Energy Total Return Index ETN,us_market,UBS,,AMTR,AMEX
AMUB,Etracs Alerian MLP Index ETN Series B,,,ETF,,,,PCX,ETRACS Alerian MLP Index ETN Se,UBS ETRACS Alerian MLP Index ETN Series B,us_market,UBS Group AG,,AMUB,AMEX
AMZA,Infracap MLP ETF,,,ETF,,,,PCX,InfraCap MLP ETF,InfraCap MLP ETF,us_market,Virtus,,AMZA,AMEX
ANEW,MSCI Transformational Changes ETF,,,ETF,,,,PCX,ProShares MSCI Transformational,ProShares MSCI Transformational Changes ETF,us_market,ProShares,,ANEW,AMEX
AOA,Aggressive Allocation Ishares Core ETF,,,ETF,,,,PCX,iShares Core Aggressive Allocat,iShares Core Aggressive Allocation ETF,us_market,iShares,,AOA,AMEX
AOK,Conservative Allocation Ishares Core ETF,,,ETF,,,,PCX,iShares Core Conservative Alloc,iShares Core Conservative Allocation ETF,us_market,iShares,,AOK,AMEX
AOM,Moderate Allocation Ishares Core ETF,,,ETF,,,,PCX,iShares Core Moderate Allocatio,iShares Core Moderate Allocation ETF,us_market,iShares,,AOM,AMEX
AOR,Growth Allocation Ishares Core ETF,,,ETF,,,,PCX,iShares Core Growth Allocation ,iShares Core Growth Allocation ETF,us_market,iShares,,AOR,AMEX
AP.W,Ampco-Pittsburgh Corp Series A WT,,,,,,,,,,,,,AP.W,AMEX
APRZ,Trust Trueshares Structured Outcome,,,ETF,,,,BTS,Trust TrueShares Structured Out,TrueShares Structured Outcome (April) ETF,us_market,TrueShares,,APRZ,AMEX
APT,Alpha Pro Tech,Industrials,Building Products & Equipment,EQUITY,,https://www.alphaprotech.com,https://logo.clearbit.com/alphaprotech.com,ASE,"Alpha Pro Tech, Ltd.","Alpha Pro Tech, Ltd.",us_market,,50881280,APT,AMEX
APXH,Apex Healthcare ETF,,,ETF,,,,BTS,APEX HealthCare ETF,Two Roads Shared Trust - APEX HealthCare ETF,us_market,,,APXH,AMEX
AQGX,Ai Quality Growth ETF,,,ETF,,,,PCX,AI Quality Growth ETF,AI Quality Growth ETF,us_market,Adaptive ETF,,AQGX,AMEX
ARB,Altshares Merger Arbitrage ETF,,,ETF,,,,PCX,AltShares Merger Arbitrage ETF,AltShares Merger Arbitrage ETF,us_market,AltShares,,ARB,AMEX
ARCM,Arrow Reserve Capital Management ETF,,,ETF,,,,BTS,Arrow Reserve Capital Managemen,Arrow Reserve Capital Management ETF,us_market,ArrowShares,,ARCM,AMEX
AREN,The Arena Group Holdings Inc,Communication Services,Internet Content & Information,EQUITY,,https://www.thearenagroup.net,https://logo.clearbit.com/thearenagroup.net,ASE,"The Arena Group Holdings, Inc.","The Arena Group Holdings, Inc.",us_market,,220378352,AREN,AMEX
ARGT,Gx MSCI Argentina ETF,,,ETF,,,,PCX,Global X MSCI Argentina ETF,Global X MSCI Argentina ETF,us_market,Global X Funds,,ARGT,AMEX
ARKF,Ark Fintech Innovation ETF,,,ETF,,,,PCX,ARK Fintech Innovation ETF,ARK Fintech Innovation ETF,us_market,ARK ETF Trust,,ARKF,AMEX
ARKG,Ark Genomic Revolution ETF,,,ETF,,,,BTS,ARK Genomic Revolution ETF,ARK Genomic Revolution ETF,us_market,ARK ETF Trust,,ARKG,AMEX
ARKK,Ark Innovation ETF,,,ETF,,,,PCX,ARK Innovation ETF,ARK Innovation ETF,us_market,ARK ETF Trust,,ARKK,AMEX
ARKQ,Ark Autonomous Tech & Robotics ETF,,,ETF,,,,BTS,ARK Autonomous Technology & Rob,ARK Autonomous Technology & Robotics ETF,us_market,ARK ETF Trust,,ARKQ,AMEX
ARKW,Ark Next Generation Internet ETF,,,ETF,,,,PCX,ARK Next Generation Internet ET,ARK Next Generation Internet ETF,us_market,ARK ETF Trust,,ARKW,AMEX
ARKX,Ark Space Exploration & Innovation ETF,,,ETF,,,,BTS,ARK Space Exploration & Innovat,ARK Space Exploration & Innovation ETF,us_market,ARK ETF Trust,,ARKX,AMEX
ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,EQUITY,,https://www.armatapharma.com,https://logo.clearbit.com/armatapharma.com,ASE,"Armata Pharmaceuticals, Inc.","Armata Pharmaceuticals, Inc.",us_market,,177786656,ARMP,AMEX
ARMR,Armor US Equity Index ETF,,,ETF,,,,PCX,Exchange Listed Funds Trust Arm,Armor US Equity Index ETF,us_market,Exchange Traded Concepts,,ARMR,AMEX
ASEA,Gx FTSE Southeast Asia ETF,,,ETF,,,,PCX,Global X FTSE Southeast Asia ET,Global X FTSE Southeast Asia ETF,us_market,Global X Funds,,ASEA,AMEX
ASHR,Xt Harvest CSI 300 China A-Shares ETF,,,ETF,,,,PCX,Xtrackers Harvest CSI 300 China,Xtrackers Harvest CSI 300 China A-Shares ETF,us_market,Xtrackers,,ASHR,AMEX
ASHS,Xt Harvest CSI 500 China A-Shares Small,,,ETF,,,,PCX,Xtrackers Harvest CSI 500 China,Xtrackers Harvest CSI 500 China-A Shares Small Cap ETF,us_market,Xtrackers,,ASHS,AMEX
ASHX,Xt MSCI China A Inclusion Equity ETF,,,ETF,,,,PCX,Xtrackers MSCI China A Inclusio,Xtrackers MSCI China A Inclusion Equity ETF,us_market,Xtrackers,,ASHX,AMEX
ASM,Avino Silver & Gold,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.avino.com,https://logo.clearbit.com/avino.com,ASE,Avino Silver & Gold Mines Ltd.,Avino Silver & Gold Mines Ltd.,us_market,,58355244,ASM,AMEX
ASPY,Asymmetric ETFS Trust Asymshares,,,ETF,,,,PCX,ASYMshares ASYMmetric S&P 500 E,ASYMshares ASYMmetric S&P 500 ETF,us_market,ASYMshare,,ASPY,AMEX
ASXC,Asensus Surgical Inc,Healthcare,Medical Devices,EQUITY,,https://www.asensus.com,https://logo.clearbit.com/asensus.com,ASE,"Asensus Surgical, Inc.","Asensus Surgical, Inc.",us_market,,106547224,ASXC,AMEX
ATFV,Alger 35 ETF,,,ETF,,,,PCX,Alger 35 ETF,Alger 35 ETF,us_market,Alger,,ATFV,AMEX
ATMP,Barclays Plus Select MLP ETN,,,ETF,,,,BTS,iPath Select MLP ETN,Barclays ETN+ Select MLP ETN,us_market,Milleis Investissements Funds,,ATMP,AMEX
ATNM,Actinium Pharmaceuticals Inc,Healthcare,Biotechnology,EQUITY,,https://www.actiniumpharma.com,https://logo.clearbit.com/actiniumpharma.com,ASE,"Actinium Pharmaceuticals, Inc. ","Actinium Pharmaceuticals, Inc.",us_market,,183848320,ATNM,AMEX
AUGZ,Trueshares Structured Outcome Aug ETF,,,ETF,,,,BTS,TrueShares Structured Outcome (,TrueShares Structured Outcome (August) ETF,us_market,TrueShares,,AUGZ,AMEX
AUMN,Golden Minerals Company,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.goldenminerals.com,https://logo.clearbit.com/goldenminerals.com,ASE,Golden Minerals Company,Golden Minerals Company,us_market,,40350148,AUMN,AMEX
AUSF,Gx Adaptive U.S. Factor ETF,,,ETF,,,,PCX,Global X Funds Global X Adaptiv,Global X Adaptive U.S. Factor ETF,us_market,Global X Funds,,AUSF,AMEX
AUST,Austin Gold Corp,Basic Materials,Gold,EQUITY,,https://www.austin.gold,https://logo.clearbit.com/austin.gold,ASE,Austin Gold Corp.,Austin Gold Corp.,us_market,,13827889,AUST,AMEX
AVDE,Avantis International Equity ETF,,,ETF,,,,PCX,Avantis International Equity ET,Avantis International Equity ETF,us_market,Avantis Investors,,AVDE,AMEX
AVDV,Avantis International Small Cap Value,,,ETF,,,,PCX,Avantis International Small Cap,Avantis International Small Cap Value ETF,us_market,Avantis Investors,,AVDV,AMEX
AVEM,Avantis Emerging Markets Equity ETF,,,ETF,,,,PCX,Avantis Emerging Markets Equity,Avantis Emerging Markets Equity ETF,us_market,Avantis Investors,,AVEM,AMEX
AVES,Avantis Emerging Markets Value ETF,,,ETF,,,,PCX,Avantis Emerging Markets Value ,Avantis Emerging Markets Value ETF,us_market,Avantis Investors,,AVES,AMEX
AVIG,Avantis Core Fixed Income ETF,,,ETF,,,,PCX,Avantis Core Fixed Income ETF,Avantis Core Fixed Income ETF,us_market,Avantis Investors,,AVIG,AMEX
AVIV,Avantis International Large Cap Value,,,ETF,,,,PCX,Avantis International Large Cap,Avantis International Large Cap Value ETF,us_market,Avantis Investors,,AVIV,AMEX
AVLV,Avantis U.S. Large Cap Value ETF,,,ETF,,,,PCX,Avantis U.S. Large Cap Value ET,Avantis U.S. Large Cap Value ETF,us_market,Avantis Investors,,AVLV,AMEX
AVMU,Avantis Core Municipal Fixed Income ETF,,,ETF,,,,PCX,Avantis Core Municipal Fixed In,Avantis Core Municipal Fixed Income ETF,us_market,Avantis Investors,,AVMU,AMEX
AVRE,Avantis Real Estate ETF,,,ETF,,,,PCX,Avantis Real Estate ETF,Avantis Real Estate ETF,us_market,Avantis Investors,,AVRE,AMEX
AVSC,Avantis U.S Small Cap Equity ETF,,,ETF,,,,PCX,American Century ETF Trust Avan,Avantis U.S. Small Cap Equity ETF,us_market,Avantis Investors,,AVSC,AMEX
AVSD,Avantis Responsible International Equity,,,ETF,,,,PCX,American Century ETF Trust Avan,Avantis Responsible International Equity ETF,us_market,Avantis Investors,,AVSD,AMEX
AVSE,Avantis Responsible Emerging Markets ETF,,,ETF,,,,PCX,American Century ETF Trust Avan,Avantis Responsible Emerging Markets Equity ETF,us_market,Avantis Investors,,AVSE,AMEX
AVSF,Avantis Short-Term Fixed Income ETF,,,ETF,,,,PCX,Avantis Short-Term Fixed Income,Avantis Short-Term Fixed Income ETF,us_market,Avantis Investors,,AVSF,AMEX
AVSU,Avantis Responsible U.S. Equity ETF,,,ETF,,,,PCX,American Century ETF Trust Avan,Avantis Responsible U.S. Equity ETF,us_market,Avantis Investors,,AVSU,AMEX
AVUS,Avantis U.S. Equity ETF,,,ETF,,,,PCX,Avantis U.S. Equity ETF,Avantis U.S. Equity ETF,us_market,Avantis Investors,,AVUS,AMEX
AVUV,Avantis U.S. Small Cap Value ETF,,,ETF,,,,PCX,Avantis U.S. Small Cap Value ET,Avantis U.S. Small Cap Value ETF,us_market,Avantis Investors,,AVUV,AMEX
AWAY,Etfmg Travel Tech ETF,,,ETF,,,,PCX,ETFMG Travel Tech ETF,ETFMG Travel Tech ETF,us_market,ETFMG,,AWAY,AMEX
AWX,Avalon Holdings Corp,Industrials,Waste Management,EQUITY,,https://www.avalonholdings.com,https://logo.clearbit.com/avalonholdings.com,ASE,Avalon Holdings Corporation,Avalon Holdings Corporation,us_market,,10801421,AWX,AMEX
AWYX,Etfmg 2X Daily Travel Tech ETF,,,ETF,,,,PCX,ETFMG 2X Daily Travel Tech ETF,ETFMG 2x Daily Travel Tech ETF,us_market,ETFMG,,AWYX,AMEX
AXU,Alexco Resource Corp,Basic Materials,Industrial Metals & Minerals,EQUITY,,https://www.alexcoresource.com,https://logo.clearbit.com/alexcoresource.com,ASE,Alexco Resource Corp,Alexco Resource Corp.,us_market,,76478744,AXU,AMEX
AZAA,Allianzim U.S. Large Cap Buffer10 Apr,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer10 Apr ETF,us_market,AllianzIM,,AZAA,AMEX
AZAJ,Allianzim U.S. Large Cap Buffer10 Jan,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer10 Jan ETF,us_market,AllianzIM,,AZAJ,AMEX
AZAL,Allianzim U.S. Large Cap Buffer10 Jul,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer10 Jul ETF,us_market,AllianzIM,,AZAL,AMEX
AZAO,Allianzim U.S. Large Cap Buffer10 Oct,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer10 Oct ETF,us_market,AllianzIM,,AZAO,AMEX
AZBA,Allianzim U.S. Large Cap Buffer20 Apr,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer20 Apr ETF,us_market,AllianzIM,,AZBA,AMEX
AZBJ,Allianzim U.S. Large Cap Buffer20 Jan,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer20 Jan ETF,us_market,AllianzIM,,AZBJ,AMEX
AZBL,Allianzim U.S. Large Cap Buffer20 Jul,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer20 Jul ETF,us_market,AllianzIM,,AZBL,AMEX
AZBO,Allianzim U.S. Large Cap Buffer20 Oct,,,ETF,,,,PCX,AllianzIM U.S. Large Cap Buffer,AllianzIM U.S. Large Cap Buffer20 Oct ETF,us_market,AllianzIM,,AZBO,AMEX
AZTD,Aztlan Global Stock Selection Dm Smid,,,ETF,,,,PCX,Tidal ETF Trust Aztlan Global S,Aztlan Global Stock Selection Dm SMID ETF,us_market,Aztlan ETFs,,AZTD,AMEX
BAB,Taxable Municipal Bond Invesco ETF,,,ETF,,,,PCX,Invesco Taxable Municipal Bond ,Invesco Taxable Municipal Bond ETF,us_market,Invesco,,BAB,AMEX
BAD,Listed Funds Trust B.A.D. ETF,,,ETF,,,,PCX,Listed Funds Trust B.A.D. ETF,B.A.D. ETF,us_market,BAD Investment,,BAD,AMEX
BAL,Ipatha.B Cotton Subindex TR ETN,,,ETF,,,,PCX,iPathA Series B Bloomberg Cotto,iPath Series B Bloomberg Cotton Subindex Total Return ETN,us_market,Milleis Investissements Funds,,BAL,AMEX
BALT,Innovator Defined Wealth Shield ETF,,,ETF,,,,BTS,Innovator Defined Wealth Shield,Innovator Defined Wealth Shield ETF,us_market,Innovator ETFs,,BALT,AMEX
BAPR,Innovator S&P 500 Buffer ETF,,,ETF,,,,BTS,Innovator U.S. Equity Buffer ET,Innovator S&P 500 Buffer ETF - April New,us_market,Innovator ETFs,,BAPR,AMEX
BAR,Graniteshares Gold Trust ETF,,,ETF,,,,PCX,GraniteShares Gold Trust Shares,GraniteShares Gold Trust,us_market,Graniteshares,,BAR,AMEX
BATL,Battalion Oil Corp,Energy,Oil & Gas E&P,EQUITY,,https://battalionoil.com,https://logo.clearbit.com/battalionoil.com,ASE,Battalion Oil Corporation,Battalion Oil Corporation,us_market,,192950608,BATL,AMEX
BATT,Adv Battery Metals and Materials Amplify,,,ETF,,,,PCX,Amplify Lithium & Battery Techn,Amplify Lithium & Battery Technology ETF,us_market,Amplify ETFs,,BATT,AMEX
BAUG,Innovator S&P 500 Buffer ETF August,,,ETF,,,,BTS,Innovator U.S. Equity Buffer ET,Innovator U.S. Equity Buffer ETF - August,us_market,Innovator ETFs,,BAUG,AMEX
BBAX,JPM Betabuilders Developed Asia-Ex Japan,,,ETF,,,,BTS,JPMorgan BetaBuilders Developed,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF,us_market,JPMorgan,,BBAX,AMEX
BBC,Bioshares Biotech Clinical Trial,,,ETF,,,,PCX,Virtus LifeSci Biotech Clinical,Virtus LifeSci Biotech Clinical Trials ETF,us_market,Virtus,,BBC,AMEX
